names,n,new_name,word_name
"NC_055167_1 |Bank vole virus strain RP-12, complete genome",3,NC_055167,Bank_vole_virus
"NC_055168_1 |Pohorje myodes paramyxovirus 1 isolate TT02/05, complete genome",3,NC_055168,Pohorje_myodes_paramyxovirus
"NC_055508_1 |Alston virus isolate Alstonville, complete genome",3,NC_055508,Alston_virus_
"NC_043539_1 |Mount Mabu Lophuromys virus 1 isolate MOZ135_1, complete genome",4,NC_043539,Mount_Mabu_Lophuromys_virus_1
"NC_043540_1 |Mount Mabu Lophuromys virus 2 isolate MOZ135_2, complete genome",4,NC_043540,Mount_Mabu_Lophuromys_virus_2
"NC_040796_1 |Avian paramyxovirus 20 isolate APMV-20/gull/Kazakhstan/5976/2014, complete genome",3,NC_040796,Avian_paramyxovirus
"NC_038270_1 |Simian Agent 10, complete genome",3,NC_038270,Simian_Agent_10
"NC_038271_1 |Bat Paramyxovirus Epo_spe/AR1/DRC/2009, complete genome",4,NC_038271,Bat_Paramyxovirus_Epo
"NC_039015_1 |Avian paramyxovirus 14 isolate APMV14/duck/Japan/11OG0352/2011, complete genome",3,NC_039015,Avian_paramyxovirus_14
"NC_039016_1 |Avian paramyxovirus UPO216 isolate APMV-15/WB/Kr/UPO216/2014, complete genome",3,NC_039016,Avian_paramyxovirus_APMV_15
"NC_039017_1 |Antarctic penguin virus A, complete genome",3,NC_039017,Antarctic_penguin_virus_A
"NC_039018_1 |Antarctic penguin virus B, complete genome",3,NC_039018,Antarctic_penguin_virus_B
"NC_039019_1 |Antarctic penguin virus C, complete genome",3,NC_039019,Antarctic_penguin_virus_C
"NC_039194_1 |Avian paramyxovirus 6 strain APMV-6/Goose/FarEast/4440/2003, complete genome",3,NC_039194,Avian_paramyxovirus_6
"NC_039195_1 |Avian paramyxovirus 8 strain goose/Delaware/1053/76, complete genome",3,NC_039195,Avian_paramyxovirus_8
"NC_039196_1 |Feline morbillivirus strain 761U, complete genome",3,NC_039196,Feline_morbillivirus
"NC_039197_1 |Menangle virus isolate Australia/bat/2009/Cedar Grove, complete genome",3,NC_039197,Menangle_virus
"NC_039198_1 |Teviot virus isolate Cedar Grove, complete genome",3,NC_039198,Teviot_virus
"NC_039223_1 |Newcastle disease virus isolate JSD0812, complete genome",3,NC_039223,Newcastle_disease_virus
"NC_039230_1 |Avian paramyxovirus 2 strain APMV-2/Chicken/California/Yucaipa/56, complete genome",3,NC_039230,Avian_paramyxovirus_2
"NC_034968_1 |Avian paramyxovirus 15 isolate APMV-15/calidris_fuscicollis/Brazil/RS-1177/2012, partial genome",4,NC_034968,Avian_paramyxovirus_15
"NC_030231_1 |Avian paramyxovirus goose/Shimane/67/2000 viral cRNA, complete genome",3,NC_030231,Avian_paramyxovirus_goose
"NC_028362_1 |Caprine parainfluenza virus 3 strain JS2013, complete genome",3,NC_028362,Caprine_parainfluenza_virus_3
"NC_028249_1 |Phocine distemper virus strain PDV/Wadden_Sea.NLD/1988, complete genome",4,NC_028249,Phocine_distemper_virus_strain_PDV
"NC_025386_1 |Salem virus, complete genome",3,NC_025386,Salem_virus
"NC_025390_1 |Avian paramyxovirus 9 strain duck/New York/22/1978, complete genome",3,NC_025390,Avian_paramyxovirus_9
"NC_025402_1 |Porcine parainfluenza virus 1 strain S206N, complete genome",3,NC_025402,Porcine_parainfluenza_virus_1
"NC_025403_1 |Achimota virus 1, complete genome",3,NC_025403,Achimota_virus_1
"NC_025404_1 |Achimota virus 2, complete genome",3,NC_025404,Achimota_virus_2
"NC_025407_1 |Avian paramyxovirus 11 isolate common_snipe/France/100212/2010, complete genome",4,NC_025407,Avian_paramyxovirus_11
"NC_025410_1 |Tuhoko virus 1, complete genome",3,NC_025410,Tuhoko_virus_1
"NC_025343_1 |Sosuga virus isolate 2012, complete genome",3,NC_025343,Sosuga_virus
"NC_025347_1 |Avian paramyxovirus 7 strain APMV-7/dove/Tennessee/4/75, complete genome",3,NC_025347,Avian_paramyxovirus_7
"NC_025348_1 |Tuhoko virus 2, complete genome",3,NC_025348,Tuhoko_virus_2
"NC_025349_3 |Avian paramyxovirus penguin/Falkland Islands/324/2007, complete genome",3,NC_025349,Avian_paramyxovirus_penguin
"NC_025350_1 |Tuhoko virus 3, complete genome",3,NC_025350,Tuhoko_virus_3
"NC_025351_1 |Cedar virus isolate CG1a, complete genome",3,NC_025351,Cedar_virus
"NC_025352_1 |Mojiang virus isolate Tongguan1, complete genome",3,NC_025352,Mojiang_virus
"NC_025355_1 |Tailam virus strain TL8K, complete genome",3,NC_025355,Tailam_virus_TL8K
"NC_025360_1 |Atlantic salmon paramyxovirus isolate ASPV/Yrkje371/95, complete genome",3,NC_025360,Atlantic_salmon_paramyxovirus_isolate_ASPV
